Ticket_No,Title,Description,Category,Priority,Department,Status,Resolution_Time_Hours,Arising_Date,Closing_Date,Sentiment_Label,Is_Resolved,Resolution_Speed,SLA_Status,Month,Year,Quarter,Weekday,Priority_Score,Description_Length,Word_Count
GSSA1061675041,load the Data from cartridges,"please load the Data from cartridges, following Directory /dumpdir/INPUT/KS_2019-20.",Tape RW,Medium,Applications,In Progress,0.0,2023-05-16 01:18:52,,Frustrated,False,Unresolved,Within SLA,May,2023,2,Tuesday,2,84,9
GSSA10025040,"In Zehplot queue, the job state is not changing from ""exec"" to ""comp"" on plot completion.","We are facing a persistent issue regarding the functionality of Zehplot. Unlike the normal circumstances, whenever the fNRSIt job is completed (plot done) its state is no ... job status page are left in pend state.",Issue,Low,Infrastructure,Closed,174.0,2025-07-06 07:09:23,2025-07-13 13:09:23,Neutral,True,Slow,Breached,July,2025,3,Sunday,1,214,36
GSSA10025039,Downloading data file B789_127-DATA-INTEG.zip from NORPIC ftp .,Downloading data file B789_127-DATA-INTEG.zip from NORPIC ftp .,Data Transfer,Critical,Infrastructure,Closed,40.0,2024-10-17 10:23:08,2024-10-19 02:23:08,Frustrated,True,Medium,Within SLA,October,2024,4,Thursday,4,63,8
GSSA1051695038,Dump PSTM gather & RMS velocity,Plz dump AP: 153-154 PSTM gather & RMS velocity cartridge (5 no.).,Tape RW,Medium,IT Support,Closed,237.0,2023-02-19 08:56:39,2023-03-01 05:56:39,Frustrated,True,Slow,Breached,February,2023,1,Sunday,2,66,12
GSSA1054095037,"Downloading of ftp data ""DATA_NORPIC_SSWMH.zip""","Zip file with name ""DATA_NORPIC_SSWSF.zip"" is available at sftp ftpuser@1.2.3.4  with password ftpuser Kindly upload the file from the directory and provide in dump data or usb data.",Data Transfer,High,Security,Closed,144.0,2023-02-16 06:55:15,2023-02-22 06:55:15,Satisfied,True,Slow,Breached,February,2023,1,Thursday,3,182,28
GSSA1253935036,Add survey to IP project,kindly add two survey 1. LGF-NORTH_3D4-LGF-NORTH-MERG 2. Hornelen_Solund_BASIN_JULY16 to IP project EH_TD_2018_IP,Project Creation,Critical,IT Support,Closed,134.0,2023-05-26 13:12:42,2023-06-01 03:12:42,Frustrated,True,Slow,Breached,May,2023,2,Friday,4,113,12
GSSA1053855035,Data Access from openworks,Please provide access to openwoks survey from HRS,User CUDA,Low,Applications,Closed,112.0,2023-12-06 15:24:52,2023-12-11 07:24:52,Frustrated,True,Slow,Breached,December,2023,4,Wednesday,1,49,8
GSSA10025034,DSG is responding slow,DSG is responding very slow,Issue,Critical,Applications,Resolved,160.0,2023-12-28 10:13:36,2024-01-04 02:13:36,Frustrated,True,Slow,Breached,December,2023,4,Thursday,4,27,5
GSSA1051695033,Creating new user ID,"Respected Sir, I ,Alice, have joined NORPIC on 1.05.2019 on transfer from E&D Dte. and have been assigned XY BASIN Group. I thus request you to kindly provide me with a v ... 11  Regards, Alice Geophysicist (S) CPF-11111",User CUDA,Medium,Security,Closed,84.0,2025-02-24 01:00:38,2025-02-27 13:00:38,Urgent,True,Slow,Breached,February,2025,1,Monday,2,220,39
GSSA10025032,Unable to connect to Petrel license server,Unable to connect to Petrel license server,Issue,Low,Security,In Progress,0.0,2025-07-24 04:53:06,,Neutral,False,Unresolved,Within SLA,July,2025,3,Thursday,1,42,7
GSSA10025031,need to restore a embedded openworks project for training,need to restore a embedded openworks project for training,Backup Restore,Medium,Infrastructure,Closed,70.0,2023-02-11 05:19:57,2023-02-14 03:19:57,Frustrated,True,Medium,Within SLA,February,2023,1,Saturday,2,57,9
GSSA10025030,hrs crashing on running CDP stack,hrs crashing on running CDP stack,Issue,Medium,Security,Pending,0.0,2025-05-21 20:43:57,,Satisfied,False,Unresolved,Within SLA,May,2025,2,Wednesday,2,33,6
GSSA948195029,DATA TRANSFER,Project DATA (Seismic volumes + interpretation) in petrel project of Linch Field need to be transferred to CEC-OG New Delhi,Data Transfer,Critical,Infrastructure,Closed,3.0,2023-11-05 21:12:17,2023-11-06 00:12:17,Neutral,True,Fast,Within SLA,November,2023,4,Sunday,4,123,20
GSSA1344225028,Dump 6 Cartridges,Six cartridge need to be dumped to disk drive. I have handed over them to Anniken. Kindly dump them into dump_IRONISL\INPUT\IRONISL_Solund_2019\G-375_G-416_Merge,Tape RW,High,Infrastructure,Closed,2.0,2025-10-06 13:26:52,2025-10-06 15:26:52,Neutral,True,Fast,Within SLA,October,2025,4,Monday,3,161,21
GSSA10025027,need to uninstall techlog 2015.3 & Kingdom 2018,need to uninstall techlog 2015.3 & Kingdom 2018,Software Installation,Critical,Infrastructure,Closed,172.0,2025-04-26 12:53:27,2025-05-03 16:53:27,Satisfied,True,Slow,Breached,April,2025,2,Saturday,4,47,8
GSSA948665026,PL LOAD M-124T & M-137 from 3D TAPE: FINAL PSTM & FINAL RM VEL,PL LOAD X & Y from 3D TAPE: FINAL PSTM & FINAL RM VEL to the target file VALERIA dumpdir/INPUT/DUMP_SEISMIC.,Tape RW,Low,Data Center,Closed,202.0,2024-10-13 16:49:57,2024-10-22 02:49:57,Urgent,True,Slow,Breached,October,2024,4,Sunday,1,108,20
GSSA1215865025,need to increase the extent of the AOI in project B789_127_2019,New cordinates for AOI are Xmin - 756694.0 Xmax - 819787.0 Ymin - 2152280.0 Ymax - 2191002.1,Project Creation,Critical,Infrastructure,Closed,77.0,2023-12-09 10:37:19,2023-12-12 15:37:19,Neutral,True,Slow,Breached,December,2023,4,Saturday,4,92,17
GSSA1063285024,Installation of New version of Petrel,Please install Petrel 2018 version in workstation106,Software Installation,Low,Applications,Resolved,2.0,2024-11-28 19:43:37,2024-11-28 21:43:37,Satisfied,True,Fast,Within SLA,November,2024,4,Thursday,1,52,7
GSSA10025023,need to copy data from Stabbfjorden using ftp,need to copy data from Stabbfjorden using ftp,Data Transfer,Critical,Applications,Closed,209.0,2025-07-04 09:25:01,2025-07-13 02:25:01,Satisfied,True,Slow,Breached,July,2025,3,Friday,4,45,8
GSSA10025022,can not restore backup of external data,can't restore external data in IP project. Error says: can not open file owdir.dat in /projectdata/landmark/training_dataset_30May2019/null/owdir.dat,Issue,Low,Data Center,In Progress,0.0,2024-03-08 03:42:04,,Frustrated,False,Unresolved,Within SLA,March,2024,1,Friday,1,149,16
GSSA10025021,need to restore a openworks project for Training,need to restore a openworks project: DFF_CLASS for Training scheduled to start monday.,Backup Restore,Low,IT Support,Closed,108.0,2023-01-11 02:17:28,2023-01-15 14:17:28,Satisfied,True,Slow,Breached,January,2023,1,Wednesday,1,86,13
GSSA1053785020,dump cartridge,"dump 6nos of cartridge path is /dumpdir/INPUT/OALP_984 cartridge nos. are S01087JA,S11205JA, S10585 to 88",Tape RW,Critical,Infrastructure,Closed,57.0,2023-09-06 00:31:50,2023-09-08 09:31:50,Neutral,True,Medium,Within SLA,September,2023,3,Wednesday,4,105,14
GSSA948665019,PL LOAD M-117 3D TAPE: FINAL PSTM & FINAL RM VEL,PL LOAD M-117 3D TAPE: FINAL PSTM & FINAL RM VEL,Tape RW,Critical,IT Support,Closed,10.0,2025-12-20 12:31:23,2025-12-20 22:31:23,Satisfied,True,Fast,Within SLA,December,2025,4,Saturday,4,48,11
GSSA815655018,Project Restoration,Please make necessary arrangement for restoration of SF_SUB_LIII Project of 2015-2016,Backup Restore,High,Security,Closed,71.0,2024-10-18 12:12:24,2024-10-21 11:12:24,Neutral,True,Medium,Within SLA,October,2024,4,Friday,3,85,11
GSSA10025017,Unable to perform well actions in Geolog for user u95968,Unable to perform well actions in Geolog,Issue,Low,Data Center,Closed,5.0,2024-06-12 13:27:31,2024-06-12 18:27:31,Neutral,True,Fast,Within SLA,June,2024,2,Wednesday,1,40,7
GSSA1215625016,curve utility of Petroworks pro not launching,curve utility of Petroworks pro not launching,Issue,Critical,Applications,Closed,53.0,2024-03-07 15:47:40,2024-03-09 20:47:40,Neutral,True,Medium,Within SLA,March,2024,1,Thursday,4,45,7
GSSA10025015,a new window is opening when we double click any folder,a new window is opening when we double click any folder. need to open the folder in the same window,Issue,Low,Data Center,Closed,96.0,2023-08-30 12:41:45,2023-09-03 12:41:45,Neutral,True,Slow,Breached,August,2023,3,Wednesday,1,99,20
GSSA10025014,problem in display setting of grid,can not display a particular grid in map window. however the same grid was getting displayed properly in a different workstation from a different user,Issue,High,Applications,Closed,87.0,2023-12-01 11:28:43,2023-12-05 02:28:43,Urgent,True,Slow,Breached,December,2023,4,Friday,3,150,25
GSSA1223665013,Not able to open Low frequency model in HRS,i am not able to display the horizon in my new project.,Issue,Critical,IT Support,Pending,0.0,2024-06-06 21:09:15,,Satisfied,False,Unresolved,Within SLA,June,2024,2,Thursday,4,55,12
GSSA10025012,System hanged,System hanged,Issue,Low,Applications,Closed,225.0,2023-06-08 18:40:31,2023-06-18 03:40:31,Frustrated,True,Slow,Breached,June,2023,2,Thursday,1,13,2
GSSA10025011,system is slow,system is slow,Issue,High,Applications,Closed,151.0,2023-05-25 01:48:56,2023-05-31 08:48:56,Satisfied,True,Slow,Breached,May,2023,2,Thursday,3,14,3
GSSA1253935010,cpy data to processing divison,"kindly copy a data folder ""/dumpdir/EH_TD_DATA/27may/"" to processing division in PG1 (CGG) group. Processing user is u111111",Data Transfer,Low,Data Center,Closed,127.0,2024-08-13 04:42:59,2024-08-18 11:42:59,Frustrated,True,Slow,Breached,August,2024,3,Tuesday,1,124,17
GSSA10025009,Display font and application fonts are very small,Display font and application fonts are very small,Issue,High,Security,Closed,204.0,2023-05-31 05:50:52,2023-06-08 17:50:52,Neutral,True,Slow,Breached,May,2023,2,Wednesday,3,49,8
GSSA1053785008,project permission,Assign full Permission to User 544455 for regional MEREENBASINXY project,User CUDA,Low,Data Center,Closed,20.0,2024-07-11 15:43:16,2024-07-12 11:43:16,Satisfied,True,Fast,Within SLA,July,2024,3,Thursday,1,72,10
GSSA10025007,Keyboard not working for userid u134422,Keyboard not working for userid u222222,Issue,Critical,IT Support,Closed,81.0,2024-06-18 07:35:55,2024-06-21 16:35:55,Urgent,True,Slow,Breached,June,2024,2,Tuesday,4,39,6
GSSA1219105006,well correlation licence is not available in petrel,well correlation licence is not available in petrel,Issue,High,Applications,Closed,32.0,2025-07-26 20:32:16,2025-07-28 04:32:16,Neutral,True,Medium,Within SLA,July,2025,3,Saturday,3,51,8
GSSA10025005,can not boot the system,hard disk not found. Can not boot the system.,Issue,High,Applications,Closed,206.0,2024-02-15 22:03:09,2024-02-24 12:03:09,Satisfied,True,Slow,Breached,February,2024,1,Thursday,3,45,9
GSSA1344225004,Petrel License getting reset frequently,Petrel License is getting reset every 10 minutes or so. Kindly resolve the issue asap.,Issue,Critical,Infrastructure,Closed,200.0,2023-03-09 11:56:59,2023-03-17 19:56:59,Neutral,True,Slow,Breached,March,2023,1,Thursday,4,86,15
GSSA1215865003,related to Hrz.,i am not able to display the horizon in my new project.,Issue,Low,Security,Closed,190.0,2024-12-14 16:36:03,2024-12-22 14:36:03,Neutral,True,Slow,Breached,December,2024,4,Saturday,1,55,12
GSSA1253935002,workstation54 working too slow,workstation54 working too slow. kindly do the needful,Issue,High,Applications,Closed,103.0,2025-04-13 00:01:56,2025-04-17 07:01:56,Frustrated,True,Slow,Breached,April,2025,2,Sunday,3,53,8
GSSA1219105001,frequent loss of petrel license causing inconvenience,frequent loss of petrel license causing inconvenience,Issue,Medium,Applications,Closed,109.0,2023-07-13 21:51:23,2023-07-18 10:51:23,Urgent,True,Slow,Breached,July,2023,3,Thursday,2,53,7
GSSA1053485000,petel license frequently disconnecting,Since morning petrel license is frequently disconnecting.,Issue,High,Applications,In Progress,0.0,2024-08-11 00:47:04,,Urgent,False,Unresolved,Within SLA,August,2024,3,Sunday,3,57,7
GSSA10024999,Unable to view Horizons For IP B789_* in SOUTHEROSF_BASIN_XY,Unable to view Horizons For IP B789_* in SOUTHEROSF_BASIN_XY,Issue,Low,IT Support,Closed,141.0,2023-05-03 09:53:03,2023-05-09 06:53:03,Frustrated,True,Slow,Breached,May,2023,2,Wednesday,1,60,9
GSSA10024998,Firefox and LibreOffice is not working.,Firefox and LibreOffice is not working.,Issue,Critical,Infrastructure,Closed,130.0,2025-05-07 13:33:59,2025-05-12 23:33:59,Urgent,True,Slow,Breached,May,2025,2,Wednesday,4,39,6
GSSA1242334997,SYSTEM SLOW,SYSTEM NOT RESPONDING PROPERLY,Issue,Critical,Infrastructure,Pending,0.0,2024-03-31 10:28:42,,Satisfied,False,Unresolved,Within SLA,March,2024,1,Sunday,4,30,4
GSSA10024996,can not login to workstation,workstation was restarted yesterday and cant login to workstation now.,Issue,Low,IT Support,Closed,174.0,2025-09-03 13:23:25,2025-09-10 19:23:25,Satisfied,True,Slow,Breached,September,2025,3,Wednesday,1,70,10
GSSA777944995,project not found,The project MORE-28-42_GEOMECH.pet in W:\Petrel Project From workstation110_inversion is not found while opening the petrel. Plz provide the solution at the earliest. Thanks,Issue,Critical,Data Center,Resolved,30.0,2025-08-18 20:05:15,2025-08-20 02:05:15,Frustrated,True,Medium,Within SLA,August,2025,3,Monday,4,173,23
GSSA10024994,big blue patch on screen,big blue patch on screen is hiding the dsg session,Issue,Low,Security,Closed,38.0,2024-07-15 18:43:51,2024-07-17 08:43:51,Neutral,True,Medium,Within SLA,July,2024,3,Monday,1,50,10
GSSA10024993,Unable to plot,Unable to plot the file.,Issue,Medium,Infrastructure,Resolved,157.0,2025-06-15 21:14:53,2025-06-22 10:14:53,Frustrated,True,Slow,Breached,June,2025,2,Sunday,2,24,5
GSSA1253934992,copy data to processing,"kindly copy a data folder ""/dumpdir/EH_TD_DATA"" to processing division in PG1 (CGG) group. Processing user is ""u125426"".",Data Transfer,Medium,Data Center,Closed,152.0,2023-10-26 17:02:17,2023-11-02 01:02:17,Neutral,True,Slow,Breached,October,2023,4,Thursday,2,120,17
GSSA10024991,can not access norsar license at Kvamshesten,can not access norsar license at Kvamshesten: node not found in include list,Issue,Critical,Infrastructure,Resolved,176.0,2023-04-19 01:12:14,2023-04-26 09:12:14,Urgent,True,Slow,Breached,April,2023,2,Wednesday,4,76,13
GSSA10024990,need to restore a openworks project for training,need to restore a openworks project for training purpose at 4th floor,Backup Restore,Low,Data Center,Closed,205.0,2023-03-13 04:27:24,2023-03-21 17:27:24,Frustrated,True,Slow,Breached,March,2023,1,Monday,1,69,12
GSSA1060834989,Addition of Interpreters in the Projects,"Dear Sir, Kindly include the following Interpreters in the respective projects as mentioned below: 1. Include Ms. Michelle Obama (CPF: 12345 & Mr. Alistair Campbell (CPF: ... in the Project: EH_TD_2018_IP Regards, Samuel",User CUDA,Medium,Infrastructure,Resolved,208.0,2025-10-24 05:41:00,2025-11-01 21:41:00,Urgent,True,Slow,Breached,October,2025,4,Friday,2,220,33
GSSA10024988,Periodic Workspace error while working in DSG,Periodic Workspace error while working in DSG,Issue,Low,Infrastructure,Closed,224.0,2023-12-21 00:39:48,2023-12-30 08:39:48,Satisfied,True,Slow,Breached,December,2023,4,Thursday,1,45,7
GSSA10024987,Plots not coming from 34th Floor plotter (hpplot3f),Plots not coming from 34th Floor plotter (hpplot3f),Issue,Medium,Applications,Closed,108.0,2024-03-25 13:09:54,2024-03-30 01:09:54,Urgent,True,Slow,Breached,March,2024,1,Monday,2,51,8
GSSA1344224986,Dump 1 Cartridge,One cartridge needs to be dumped to disk drive. Please collect it from me and do the needful. I can handover to the concerned person myself too. Dump them into: Z:\INPUT\IRONISL_Solund_2019 dump_IRONISL: 12.53.17.6,Tape RW,High,Applications,Closed,140.0,2023-05-04 22:51:37,2023-05-10 18:51:37,Urgent,True,Slow,Breached,May,2023,2,Thursday,3,214,33
GSSA10024985,need to disable the user list on login screen of the redhat,need to disable the user list on login screen of the redhat,Issue,Medium,IT Support,In Progress,0.0,2023-12-28 15:04:23,,Urgent,False,Unresolved,Within SLA,December,2023,4,Thursday,2,59,12
GSSA10024984,need to change the CRS in newly created project,need to change the crs in newly created IP: B789_127_2019 from WGS84_43N_SOUTHEROSF_BASIN to WGS84_42N_SOUTHEROSF_BASIN,Project Creation,High,Applications,Closed,47.0,2023-06-06 21:36:22,2023-06-08 20:36:22,Neutral,True,Medium,Within SLA,June,2023,2,Tuesday,3,119,14
GSSA1344224983,Creation of Landmark Project,"Please create a new Landmark Project: Delineation of Hazad sands in Solund Area. Project Title: Solund_IP Interpreter: GN-19 Users: Anil Johansen(123456), Lalit Johansen(654321), Aakash Hansen(236547)",Project Creation,Critical,Data Center,In Progress,0.0,2024-08-13 12:07:58,,Frustrated,False,Unresolved,Within SLA,August,2024,3,Tuesday,4,200,25
GSSA1344274982,GPM License,"Kindly, provide the license of the GPM module in Petrel for this system.",Issue,Critical,Applications,Resolved,224.0,2024-03-07 19:36:25,2024-03-17 03:36:25,Satisfied,True,Slow,Breached,March,2024,1,Thursday,4,72,13
GSSA10024981,System is not booting,System is not booting,Issue,Critical,Infrastructure,Resolved,108.0,2024-12-05 08:21:40,2024-12-09 20:21:40,Frustrated,True,Slow,Breached,December,2024,4,Thursday,4,21,4
GSSA1068694980,Connectivity issue with Plotter,"Unable to take map print-out from the 1st Floor plotter, assigned for Window system.",Issue,Medium,Security,Resolved,201.0,2025-09-14 12:02:01,2025-09-22 21:02:01,Satisfied,True,Slow,Breached,September,2025,3,Sunday,2,84,14
GSSA1063284979,VIRUS warning by AVG Antivirus,A virus warning was shown by AVG Antivirus (Screen shot attached)....please look into this issue,Issue,High,Applications,Resolved,53.0,2024-07-20 17:55:46,2024-07-22 22:55:46,Satisfied,True,Medium,Within SLA,July,2024,3,Saturday,3,96,15
GSSA1052474978,Access to IRONISL regional project,"Consequent upon annual transfer of manpower, pl provide access to regional project IRONISL to following cpf nos.- 12121 21212  This has approval of Basin Co-ordinator XY  Regards Micheal",User CUDA,Low,IT Support,Closed,69.0,2023-09-10 16:11:03,2023-09-13 13:11:03,Neutral,True,Medium,Within SLA,September,2023,3,Sunday,1,186,28
GSSA1053854977,Access to Basin Project data base,Please provide access to project data base MEREENBASINXY to my userid. thanks,User CUDA,Medium,Security,Resolved,69.0,2024-07-29 01:20:48,2024-07-31 22:20:48,Frustrated,True,Medium,Within SLA,July,2024,3,Monday,2,77,12
GSSA1063284976,Restoration of old Petrel Projects,H&S Asset has asked for backup of the following projects: 1. Reservoir Characterization of South More Field (2017-18) 2. Reservoir Characterization of Z-345 Field (2016-17) Plz restore only the petrel projects ASAP.,Backup Restore,Critical,Security,Resolved,4.0,2024-07-05 21:27:06,2024-07-06 01:27:06,Frustrated,True,Fast,Within SLA,July,2024,3,Friday,4,215,32
GSSA1219104975,MS one drive error pops up at random and system runs slow,MS one drive error pops up at random and system runs slow,Issue,Low,Infrastructure,Closed,111.0,2023-11-22 10:59:17,2023-11-27 01:59:17,Neutral,True,Slow,Breached,November,2023,4,Wednesday,1,57,12
GSSA1219104974,MS Office files shows problem while opening,MS Office files shows problem while opening,Issue,Low,Infrastructure,Resolved,144.0,2025-11-07 01:56:29,2025-11-13 01:56:29,Frustrated,True,Slow,Breached,November,2025,4,Friday,1,43,7
GSSA10024973,network issue,network problem in the workstation. Please check,Issue,Critical,Infrastructure,Closed,83.0,2024-02-19 17:39:16,2024-02-23 04:39:16,Frustrated,True,Slow,Breached,February,2024,1,Monday,4,48,7
GSSA10024972,Plots not coming from 6th floor plotter,Plots not coming from 6th floor plotter,Issue,Medium,Applications,Closed,107.0,2025-12-26 05:45:27,2025-12-30 16:45:27,Neutral,True,Slow,Breached,December,2025,4,Friday,2,39,7
GSSA948664971,plotter installation for pdf fies required,pl configure plotter for pdf fies from WINDOWS system,Issue,Medium,Security,Closed,227.0,2025-11-27 20:30:14,2025-12-07 07:30:14,Neutral,True,Slow,Breached,November,2025,4,Thursday,2,53,9
GSSA1346114970,Request to dump cartridge,Path: dumpdir/INPUT/AP152,Tape RW,Critical,Data Center,Resolved,208.0,2025-10-03 16:30:37,2025-10-12 08:30:37,Frustrated,True,Slow,Breached,October,2025,4,Friday,4,25,2
GSSA10024969,need to create a new LTO6,need to create a copy of geoframe project backup in LTO6 for IRONISL basin,Tape RW,Low,Security,Closed,123.0,2023-04-21 22:04:42,2023-04-27 01:04:42,Satisfied,True,Slow,Breached,April,2023,2,Friday,1,74,14
GSSA10024968,Petrel not responding on loading LAS file,Petrel not responding on loading LAS file,Issue,Critical,IT Support,Closed,50.0,2025-08-04 06:02:59,2025-08-06 08:02:59,Satisfied,True,Medium,Within SLA,August,2025,3,Monday,4,41,7
GSSA737754967,Anaconda-navigator command does not exist,"anaconda-navigator command not found. Although I was working in anaconda- navigator till yesterday evening. System was very slow, I restarted the system today. After rest ... m, anaconda-navigator command is not working.",Issue,Medium,Data Center,Closed,112.0,2025-09-13 09:42:23,2025-09-18 01:42:23,Urgent,True,Slow,Breached,September,2025,3,Saturday,2,220,32
GSSA948664966,need to create a new openworks project,need to create a new openworks project,Project Creation,Critical,IT Support,Resolved,238.0,2023-09-23 20:30:40,2023-10-03 18:30:40,Urgent,True,Slow,Breached,September,2023,3,Saturday,4,38,7
GSSA10024965,geolog18 getting hanged.,geolog18 getting hanged.,Issue,High,Infrastructure,Closed,111.0,2025-04-09 18:10:40,2025-04-14 09:10:40,Frustrated,True,Slow,Breached,April,2025,2,Wednesday,3,24,3
GSSA777924964,Plz install HRS 10.4,Plz install HRS 10.4,Software Installation,Low,Infrastructure,Closed,53.0,2024-01-16 07:12:46,2024-01-18 12:12:46,Satisfied,True,Medium,Within SLA,January,2024,1,Tuesday,1,20,4
GSSA1344274963,Refill the ink of the printer RICOH-PCL6 for the 34th Floor A wing,Refill the ink for RICOH 34th Floor a wing,Issue,Low,Applications,Closed,178.0,2023-09-11 20:05:11,2023-09-19 06:05:11,Neutral,True,Slow,Breached,September,2023,3,Monday,1,42,9
GSSA10024962,Geolog 18 not launching,Geolog 18 not launching,Issue,Critical,Security,Closed,234.0,2024-12-19 02:18:35,2024-12-28 20:18:35,Frustrated,True,Slow,Breached,December,2024,4,Thursday,4,23,4
GSSA10024961,can not print,can not plot any cgm files through cgm builder,Issue,High,IT Support,Closed,57.0,2024-08-12 11:07:27,2024-08-14 20:07:27,Neutral,True,Medium,Within SLA,August,2024,3,Monday,3,46,9
GSSA10024960,Plots not coming from 1st floor plotter,Plots not coming from 1st floor plotter,Issue,Critical,Security,Closed,233.0,2024-02-24 08:23:03,2024-03-05 01:23:03,Neutral,True,Slow,Breached,February,2024,1,Saturday,4,39,7
GSSA10024959,"Workstation details list for SOUTHEROSF group, 1st floor","Workstation details list for SOUTHEROSF group, 1st floor, is updated by physically verifying every workstation in the above group.",Other,High,Infrastructure,Closed,152.0,2025-09-21 04:55:13,2025-09-27 12:55:13,Satisfied,True,Slow,Breached,September,2025,3,Sunday,3,130,19
GSSA10024958,workstation detail verification of R&D group in 4th floor,workstation detail verification of R&D group in 4th floor,Other,Low,IT Support,Closed,9.0,2025-12-05 00:32:14,2025-12-05 09:32:14,Urgent,True,Fast,Within SLA,December,2025,4,Friday,1,57,9
GSSA10024957,"workstation detail verification of IRONISL, Winterfell basin and ppg in 34th Floor group","workstation detail list of IRONISL, Winterfell basin and ppg 34th Floor group is updated by physically verifying every workstation in the above mentioned groups.",Other,High,Security,Closed,65.0,2025-05-15 04:35:29,2025-05-17 21:35:29,Satisfied,True,Medium,Within SLA,May,2025,2,Thursday,3,161,24
GSSA10024956,Request to Install paradigm plugin for petrel 18,Request to Install paradigm plugin for petrel 18,Issue,Medium,Infrastructure,Pending,0.0,2023-12-08 03:50:49,,Neutral,False,Unresolved,Within SLA,December,2023,4,Friday,2,48,8
GSSA10024955,colour scheme has changed in the openworks session,colour scheme has changed in the openworks session - not able to read text in dark bacMEREENround,Issue,Critical,Applications,Resolved,231.0,2025-11-29 12:16:09,2025-12-09 03:16:09,Satisfied,True,Slow,Breached,November,2025,4,Saturday,4,97,17
GSSA10024954,unable to plot through zps,unable to plot through zps: license checkout failed,Issue,Critical,Applications,Closed,1.0,2024-05-18 18:08:11,2024-05-18 19:08:11,Satisfied,True,Fast,Within SLA,May,2024,2,Saturday,4,51,8
GSSA10024953,"workstation detail list of VALERIA, MEREEN and ppg 6th floor group","workstation detail list of VALERIA, MEREEN and ppg 6th floor group is updated by physically verifying every workstation in the above mentioned groups.",Other,Low,IT Support,Closed,57.0,2023-03-28 21:31:04,2023-03-31 06:31:04,Urgent,True,Medium,Within SLA,March,2023,1,Tuesday,1,150,23
GSSA737754952,Project folder copying from workstation88 to workstation111,Pls copy the project folder from machine workstation88 to workstation111 at location /project data/Data_Analytics_2018/,Data Transfer,Low,Data Center,Closed,29.0,2023-12-22 19:31:51,2023-12-24 00:31:51,Neutral,True,Medium,Within SLA,December,2023,4,Friday,1,119,14
GSSA664594951,Opendtect problem,opendtect software crashing frequently,Issue,Low,Security,Resolved,51.0,2023-02-19 20:47:01,2023-02-21 23:47:01,Satisfied,True,Medium,Within SLA,February,2023,1,Sunday,1,38,4
